transaction_date,transaction_volume_usd
2018-05-24,1036342565.26
2018-05-23,877226131.468
2018-05-22,790740779.415
2018-05-21,515334602.955
2018-05-20,569531075.189
2018-05-19,1787078403.23
2018-05-18,1921347087.35
2018-05-17,1353735436.44
2018-05-16,1081411504.35
2018-05-15,1865447206.61
2018-05-14,635299096.563
2018-05-13,918875391.699
2018-05-12,1272408039.53
2018-05-11,1324180127.31
2018-05-10,1210273479.41
2018-05-09,1301704096.56
2018-05-08,1292283431.85
2018-05-07,988115175.597
2018-05-06,1023518305.28
2018-05-05,1411310861.66
2018-05-04,1327368113.18
2018-05-03,1367783030.59
2018-05-02,855147575.988
2018-05-01,1035300588.35
2018-04-30,1007425923.12
2018-04-29,1666871609.28
2018-04-28,1241919188.19
2018-04-27,1420907959.32
2018-04-26,1640070695.43
2018-04-25,1794341044.68
2018-04-24,1174366423.88
2018-04-23,662423526.707
2018-04-22,968060857.955
2018-04-21,1159554824.32
2018-04-20,1383779298.64
2018-04-19,837466035.967
2018-04-18,905161446.484
2018-04-17,870304184.174
2018-04-16,565887877.99
2018-04-15,519632755.977
2018-04-14,1139372876.25
2018-04-13,1427097610.83
2018-04-12,944371471.165
2018-04-11,814234811.038
2018-04-10,767735388.159
2018-04-09,548374125.206
2018-04-08,653970928.963
2018-04-07,707820871.966
2018-04-06,765778976.079
2018-04-05,749856523.287
2018-04-04,991675387.16
2018-04-03,772083379.172
2018-04-02,585197702.818
2018-04-01,550645501.595
2018-03-31,1221858176.86
2018-03-30,1048746364.33
2018-03-29,852300507.928
2018-03-28,933013627.289
2018-03-27,1014204076.94
2018-03-26,911678930.691
2018-03-25,604208316.926
2018-03-24,961129741.356
2018-03-23,979427716.114
2018-03-22,1037303972.66
2018-03-21,1036873619.32
2018-03-20,1122875101.3
2018-03-19,867210361.668
2018-03-18,703389492.23
2018-03-17,980782712.3
2018-03-16,1238238594.04
2018-03-15,1221695123.02
2018-03-14,1418568667.41
2018-03-13,1092739345.89
2018-03-12,1016923551.98
2018-03-11,950847699.78
2018-03-10,1906277895.43
2018-03-09,1349195039.2
2018-03-08,1580136724.8
2018-03-07,1277459300.05
2018-03-06,1582234331.19
2018-03-05,1054511194.14
2018-03-04,1034631166.2
2018-03-03,1317221659.23
2018-03-02,2018301936.75
2018-03-01,2094368619.95
2018-02-28,1499367704.06
2018-02-27,1108188222.27
2018-02-26,739859891.41
2018-02-25,1626761887.8
2018-02-24,1789955857.63
2018-02-23,2511448109.45
2018-02-22,1532098344.12
2018-02-21,1485357828.45
2018-02-20,1149698995.06
2018-02-19,836693606.242
2018-02-18,877050948.237
2018-02-17,1080869422.77
2018-02-16,1288852356.38
2018-02-15,1382435888.86
2018-02-14,1263264353.9
2018-02-13,1595114435.69
2018-02-12,715801285.187
2018-02-11,966861580.237
2018-02-10,1702603672.86
2018-02-09,1764215068.64
2018-02-08,1686470711.55
2018-02-07,2199269650.77
2018-02-06,1758323361.25
2018-02-05,1623376684.01
2018-02-04,1491970146.06
2018-02-03,2944216908.4
2018-02-02,2515366060.42
2018-02-01,1618658854.2
2018-01-31,1759355792.59
2018-01-30,1800278170.07
2018-01-29,1924759197.83
2018-01-28,1380662034.54
2018-01-27,2822337879.82
2018-01-26,2123135103.39
2018-01-25,2100547353.65
2018-01-24,2003121184.75
2018-01-23,2099490615.82
2018-01-22,1773530155.1
2018-01-21,2694792832.29
2018-01-20,2503297607.33
2018-01-19,2711507318.13
2018-01-18,2806040584.35
2018-01-17,3021888568.48
2018-01-16,2828536552.74
2018-01-15,2678410640.04
2018-01-14,2614290041.62
2018-01-13,3261904629.75
2018-01-12,3600871653.38
2018-01-11,3931428179.01
2018-01-10,3794067602.84
2018-01-09,4040000007.92
2018-01-08,4897713642.16
2018-01-07,3932860281.58
2018-01-06,5164208947.92
2018-01-05,4053543883.55
2018-01-04,2850171440.75
2018-01-03,3526212014.84
2018-01-02,2552418375.92
2018-01-01,3322403204.56
2017-12-31,3942726332.1
2017-12-30,3682930089.23
2017-12-29,3618298008.33
2017-12-28,4694566031.24
2017-12-27,3172612010.67
2017-12-26,2519602087.62
2017-12-25,2547688081.56
2017-12-24,2465336231.04
2017-12-23,4421187412.93
2017-12-22,3660301618.01
2017-12-21,5152140336.23
2017-12-20,3771403823.8
2017-12-19,4873481581.5
2017-12-18,5065451796.19
2017-12-17,3581766251.64
2017-12-16,4213976777.53
2017-12-15,3587876010.83
2017-12-14,4658395921.13
2017-12-13,5760245259.92
2017-12-12,4271582103.7
2017-12-11,3572482517.43
2017-12-10,3891389970.16
2017-12-09,4799300874.74
2017-12-08,5615762340.67
2017-12-07,3627399597.02
2017-12-06,2667850402.16
2017-12-05,2601197062.2
2017-12-04,2019481499.03
2017-12-03,1985357942.79
2017-12-02,2679696382.88
2017-12-01,3480444824.09
2017-11-30,3966055569.86
2017-11-29,3250901799.03
2017-11-28,3413320841.86
2017-11-27,2264912543.13
2017-11-26,2368622335.77
2017-11-25,2691426205.27
2017-11-24,2455560232.76
2017-11-23,1730604252.11
2017-11-22,2546719238.29
2017-11-21,2394321375.2
2017-11-20,1610358777.87
2017-11-19,1971800219.26
2017-11-18,2803405660.01
2017-11-17,2351529593.37
2017-11-16,2324329725.36
2017-11-15,1833276923.3
2017-11-14,2115296495.82
2017-11-13,1844282044.77
2017-11-12,1344145630.42
2017-11-11,1944419256.12
2017-11-10,2267000254.33
2017-11-09,1888939271.11
2017-11-08,1826009240.7
2017-11-07,1568492020.04
2017-11-06,1309726635.21
2017-11-05,1424364752.55
2017-11-04,1672135010.09
2017-11-03,2392765593.6
2017-11-02,1269855999.92
2017-11-01,1589432236.0
2017-10-31,1681454664.16
2017-10-30,1306645347.28
2017-10-29,645113300.55
2017-10-28,952470634.548
2017-10-27,1970506447.29
2017-10-26,2136570417.62
2017-10-25,2102862590.16
2017-10-24,2396482266.96
2017-10-23,1006861960.46
2017-10-22,929448820.609
2017-10-21,1118742453.83
2017-10-20,1448451291.66
2017-10-19,1395865356.31
2017-10-18,1111146061.46
2017-10-17,1149273838.93
2017-10-16,868580434.843
2017-10-15,1023554358.7
2017-10-14,1448422309.53
2017-10-13,1107300179.99
2017-10-12,837665469.625
2017-10-11,1174146928.61
2017-10-10,1118783648.0
2017-10-09,676195487.48
2017-10-08,553329639.823
2017-10-07,714231923.302
2017-10-06,814413222.018
2017-10-05,591746166.815
2017-10-04,691406024.482
2017-10-03,848062737.177
2017-10-02,499781337.718
2017-10-01,663214577.875
2017-09-30,729473582.828
2017-09-29,841302338.563
2017-09-28,721892560.176
2017-09-27,774208152.991
2017-09-26,1013757769.87
2017-09-25,359612295.379
2017-09-24,498447359.008
2017-09-23,723462621.65
2017-09-22,688978348.872
2017-09-21,736406709.825
2017-09-20,857981325.781
2017-09-19,838578661.709
2017-09-18,571971943.162
2017-09-17,753316071.813
2017-09-16,1503345854.33
2017-09-15,889710944.009
2017-09-14,1003125422.23
2017-09-13,906438524.081
2017-09-12,848892503.36
2017-09-11,875474655.953
2017-09-10,778259235.639
2017-09-09,1024260564.13
2017-09-08,1261424204.11
2017-09-07,1347017552.02
2017-09-06,1403653848.43
2017-09-05,1422579714.86
2017-09-04,795926407.795
2017-09-03,918257379.548
2017-09-02,1228012219.94
2017-09-01,1192190047.07
2017-08-31,1010875740.75
2017-08-30,1144825472.11
2017-08-29,925154460.786
2017-08-28,781459739.104
2017-08-27,696876277.133
2017-08-26,765174341.396
2017-08-25,756043560.938
2017-08-24,1059426386.84
2017-08-23,881477645.718
2017-08-22,819457187.488
2017-08-21,755018135.823
2017-08-20,1323689299.87
2017-08-19,1137241535.01
2017-08-18,1318331836.48
2017-08-17,982522797.133
