transaction_date,total_transactions
2018-05-24,318118923.0
2018-05-23,317895727.0
2018-05-22,317692390.0
2018-05-21,317489743.0
2018-05-20,317331080.0
2018-05-19,317157806.0
2018-05-18,316946310.0
2018-05-17,316753627.0
2018-05-16,316545164.0
2018-05-15,316330385.0
2018-05-14,316120688.0
2018-05-13,315961894.0
2018-05-12,315779840.0
2018-05-11,315566216.0
2018-05-10,315357255.0
2018-05-09,315150676.0
2018-05-08,314932866.0
2018-05-07,314727803.0
2018-05-06,314556042.0
2018-05-05,314353339.0
2018-05-04,314134270.0
2018-05-03,313905749.0
2018-05-02,313693453.0
2018-05-01,313493494.0
2018-04-30,313278387.0
2018-04-29,313097589.0
2018-04-28,312893908.0
2018-04-27,312682789.0
2018-04-26,312466057.0
2018-04-25,312252902.0
2018-04-24,311998409.0
2018-04-23,311772056.0
2018-04-22,311600186.0
2018-04-21,311406211.0
2018-04-20,311198434.0
2018-04-19,310984911.0
2018-04-18,310784171.0
2018-04-17,310582351.0
2018-04-16,310386245.0
2018-04-15,310212214.0
2018-04-14,310050371.0
2018-04-13,309833089.0
2018-04-12,309622210.0
2018-04-11,309438962.0
2018-04-10,309252547.0
2018-04-09,309075984.0
2018-04-08,308937449.0
2018-04-07,308782810.0
2018-04-06,308609921.0
2018-04-05,308428089.0
2018-04-04,308242379.0
2018-04-03,308043460.0
2018-04-02,307875282.0
2018-04-01,307740153.0
2018-03-31,307591536.0
2018-03-30,307405596.0
2018-03-29,307213185.0
2018-03-28,307035664.0
2018-03-27,306848599.0
2018-03-26,306660749.0
2018-03-25,306525475.0
2018-03-24,306368388.0
2018-03-23,306188570.0
2018-03-22,306003383.0
2018-03-21,305808537.0
2018-03-20,305613369.0
2018-03-19,305421841.0
2018-03-18,305257440.0
2018-03-17,305102944.0
2018-03-16,304915965.0
2018-03-15,304709779.0
2018-03-14,304518737.0
2018-03-13,304322597.0
2018-03-12,304134203.0
2018-03-11,303983319.0
2018-03-10,303827091.0
2018-03-09,303628911.0
2018-03-08,303432489.0
2018-03-07,303218511.0
2018-03-06,303012495.0
2018-03-05,302811057.0
2018-03-04,302650826.0
2018-03-03,302473802.0
2018-03-02,302278729.0
2018-03-01,302044985.0
2018-02-28,301855762.0
2018-02-27,301636138.0
2018-02-26,301449664.0
2018-02-25,301304795.0
2018-02-24,301150261.0
2018-02-23,300965068.0
2018-02-22,300781833.0
2018-02-21,300576632.0
2018-02-20,300378177.0
2018-02-19,300190810.0
2018-02-18,300031315.0
2018-02-17,299857526.0
2018-02-16,299669788.0
2018-02-15,299471605.0
2018-02-14,299275188.0
2018-02-13,299092204.0
2018-02-12,298905286.0
2018-02-11,298758078.0
2018-02-10,298576295.0
2018-02-09,298398435.0
2018-02-08,298225146.0
2018-02-07,298011427.0
2018-02-06,297767307.0
2018-02-05,297550944.0
2018-02-04,297377257.0
2018-02-03,297182366.0
2018-02-02,296946448.0
2018-02-01,296688784.0
2018-01-31,296484508.0
2018-01-30,296247899.0
2018-01-29,296015723.0
2018-01-28,295802277.0
2018-01-27,295608699.0
2018-01-26,295388240.0
2018-01-25,295151660.0
2018-01-24,294901237.0
2018-01-23,294629301.0
2018-01-22,294383739.0
2018-01-21,294168117.0
2018-01-20,293927506.0
2018-01-19,293683887.0
2018-01-18,293374392.0
2018-01-17,293058621.0
2018-01-16,292754896.0
2018-01-15,292481273.0
2018-01-14,292246228.0
2018-01-13,291980493.0
2018-01-12,291680402.0
2018-01-11,291342443.0
2018-01-10,290995050.0
2018-01-09,290634785.0
2018-01-08,290289113.0
2018-01-07,289920926.0
2018-01-06,289562079.0
2018-01-05,289219372.0
2018-01-04,288794364.0
2018-01-03,288398401.0
2018-01-02,288057421.0
2018-01-01,287815664.0
2017-12-31,287525242.0
2017-12-30,287180835.0
2017-12-29,286827011.0
2017-12-28,286521958.0
2017-12-27,286214316.0
2017-12-26,285966876.0
2017-12-25,285737950.0
2017-12-24,285458427.0
2017-12-23,285150216.0
2017-12-22,284769568.0
2017-12-21,284434086.0
2017-12-20,284063809.0
2017-12-19,283685187.0
2017-12-18,283290948.0
2017-12-17,282899038.0
2017-12-16,282534816.0
2017-12-15,282129140.0
2017-12-14,281638496.0
2017-12-13,281213917.0
2017-12-12,280840940.0
2017-12-11,280472342.0
2017-12-10,280130922.0
2017-12-09,279727523.0
2017-12-08,279342431.0
2017-12-07,278970086.0
2017-12-06,278526499.0
2017-12-05,278120790.0
2017-12-04,277720104.0
2017-12-03,277367060.0
2017-12-02,277040706.0
2017-12-01,276627798.0
2017-11-30,276243412.0
2017-11-29,275845322.0
2017-11-28,275479345.0
2017-11-27,275100089.0
2017-11-26,274770412.0
2017-11-25,274433723.0
2017-11-24,274127988.0
2017-11-23,273775781.0
2017-11-22,273519072.0
2017-11-21,273147981.0
2017-11-20,272811777.0
2017-11-19,272546922.0
2017-11-18,272276048.0
2017-11-17,271969431.0
2017-11-16,271659035.0
2017-11-15,271337247.0
2017-11-14,271065252.0
2017-11-13,270755953.0
2017-11-12,270569987.0
2017-11-11,270375353.0
2017-11-10,270103608.0
2017-11-09,269762327.0
2017-11-08,269460981.0
2017-11-07,269125345.0
2017-11-06,268854316.0
2017-11-05,268602588.0
2017-11-04,268308467.0
2017-11-03,268030869.0
2017-11-02,267689395.0
2017-11-01,267447607.0
2017-10-31,267170072.0
2017-10-30,266853995.0
2017-10-29,266519970.0
2017-10-28,266312904.0
2017-10-27,266066212.0
2017-10-26,265800385.0
2017-10-25,265484970.0
2017-10-24,265137750.0
2017-10-23,264821654.0
2017-10-22,264532523.0
2017-10-21,264220266.0
2017-10-20,263907857.0
2017-10-19,263550872.0
2017-10-18,263221293.0
2017-10-17,262886855.0
2017-10-16,262572130.0
2017-10-15,262288657.0
2017-10-14,261995517.0
2017-10-13,261685698.0
2017-10-12,261392534.0
2017-10-11,261100075.0
2017-10-10,260796974.0
2017-10-09,260500028.0
2017-10-08,260261643.0
2017-10-07,260030417.0
2017-10-06,259746718.0
2017-10-05,259473475.0
2017-10-04,259240649.0
2017-10-03,258958517.0
2017-10-02,258663515.0
2017-10-01,258459862.0
2017-09-30,258247184.0
2017-09-29,257992746.0
2017-09-28,257716770.0
2017-09-27,257458809.0
2017-09-26,257195161.0
2017-09-25,256968558.0
2017-09-24,256783281.0
2017-09-23,256579420.0
2017-09-22,256351805.0
2017-09-21,256096548.0
2017-09-20,255860825.0
2017-09-19,255577908.0
2017-09-18,255359704.0
2017-09-17,255162021.0
2017-09-16,254933764.0
2017-09-15,254641685.0
2017-09-14,254373617.0
2017-09-13,254110297.0
2017-09-12,253854067.0
2017-09-11,253600575.0
2017-09-10,253407335.0
2017-09-09,253189445.0
2017-09-08,252909957.0
2017-09-07,252653583.0
2017-09-06,252377358.0
2017-09-05,252099410.0
2017-09-04,251830130.0
2017-09-03,251634841.0
2017-09-02,251398030.0
2017-09-01,251114360.0
2017-08-31,250833636.0
2017-08-30,250562170.0
2017-08-29,250281054.0
2017-08-28,250057283.0
2017-08-27,249795392.0
2017-08-26,249568907.0
2017-08-25,249360738.0
2017-08-24,249156933.0
2017-08-23,248841199.0
2017-08-22,248644916.0
2017-08-21,248408144.0
2017-08-20,248197292.0
2017-08-19,247930460.0
2017-08-18,247618210.0
2017-08-17,247270891.0
2017-08-16,246996025.0
2017-08-15,246685023.0
2017-08-14,246429661.0
2017-08-13,246166351.0
2017-08-12,245905830.0
2017-08-11,245621829.0
2017-08-10,245363864.0
2017-08-09,245102909.0
2017-08-08,244827335.0
2017-08-07,244578333.0
2017-08-06,244378706.0
2017-08-05,244138935.0
2017-08-04,243903143.0
2017-08-03,243690126.0
2017-08-02,243480805.0
2017-08-01,243348930.0
2017-07-31,243117918.0
2017-07-30,242933773.0
2017-07-29,242722639.0
2017-07-28,242475432.0
2017-07-27,242250063.0
2017-07-26,242012210.0
2017-07-25,241768174.0
2017-07-24,241528102.0
2017-07-23,241347071.0
2017-07-22,241123713.0
2017-07-21,240855270.0
2017-07-20,240625071.0
2017-07-19,240371303.0
2017-07-18,240110728.0
2017-07-17,239880413.0
2017-07-16,239677248.0
2017-07-15,239455397.0
2017-07-14,239227494.0
2017-07-13,238981599.0
2017-07-12,238724461.0
2017-07-11,238458702.0
2017-07-10,238206980.0
2017-07-09,238018856.0
2017-07-08,237798021.0
2017-07-07,237554407.0
2017-07-06,237329301.0
2017-07-05,237092293.0
2017-07-04,236836810.0
2017-07-03,236583566.0
2017-07-02,236387027.0
2017-07-01,236165171.0
