transaction_date,transaction_fees_usd
2018-05-25,225121.700379
2018-05-24,232869.806162
2018-05-23,212606.311675
2018-05-22,262376.964694
2018-05-21,212592.926216
2018-05-20,258407.833923
2018-05-19,577957.063166
2018-05-18,438194.651796
2018-05-17,269896.051485
2018-05-16,322028.853988
2018-05-15,305051.324516
2018-05-14,203691.050921
2018-05-13,240856.552213
2018-05-12,326997.720893
2018-05-11,243116.810553
2018-05-10,284597.922953
2018-05-09,316487.147244
2018-05-08,335511.603882
2018-05-07,301249.522105
2018-05-06,315453.889668
2018-05-05,382394.33565
2018-05-04,379793.453859
2018-05-03,358592.118817
2018-05-02,288207.2989
2018-05-01,340003.184846
2018-04-30,325637.992318
2018-04-29,391205.666163
2018-04-28,501248.660462
2018-04-27,625759.542671
2018-04-26,825179.562736
2018-04-25,625036.260119
2018-04-24,260277.059037
2018-04-23,192145.593563
2018-04-22,250176.598425
2018-04-21,256932.124251
2018-04-20,228424.326488
2018-04-19,206719.693216
2018-04-18,206363.134195
2018-04-17,206972.133717
2018-04-16,202721.98783
2018-04-15,190942.645957
2018-04-14,287103.589389
2018-04-13,280240.336284
2018-04-12,157597.026223
2018-04-11,156035.845753
2018-04-10,150225.015912
2018-04-09,147492.496027
2018-04-08,188194.766009
2018-04-07,228040.999943
2018-04-06,166996.474298
2018-04-05,168465.413974
2018-04-04,186219.033204
2018-04-03,150514.268183
2018-04-02,124208.505749
2018-04-01,139226.127988
2018-03-31,177326.152338
2018-03-30,195094.828724
2018-03-29,191787.314297
2018-03-28,216676.339551
2018-03-27,221211.396257
2018-03-26,174340.622682
2018-03-25,188536.568966
2018-03-24,228095.857148
2018-03-23,240939.73302
2018-03-22,277606.50243
2018-03-21,282002.166214
2018-03-20,258927.84398
2018-03-19,207005.951447
2018-03-18,171987.245159
2018-03-17,252941.524253
2018-03-16,306293.801835
2018-03-15,301935.72104
2018-03-14,555473.22062
2018-03-13,307329.883031
2018-03-12,386652.668098
2018-03-11,352229.694852
2018-03-10,316724.460172
2018-03-09,335966.798384
2018-03-08,352489.933942
2018-03-07,400821.850894
2018-03-06,516365.404075
2018-03-05,382520.881949
2018-03-04,430013.990263
2018-03-03,464496.466583
2018-03-02,573101.575877
2018-03-01,531980.010746
2018-02-28,544068.951569
2018-02-27,478005.624362
2018-02-26,401832.67507
2018-02-25,932047.945709
2018-02-24,751469.279841
2018-02-23,373430.42755
2018-02-22,428501.009101
2018-02-21,594928.423327
2018-02-20,565638.249537
2018-02-19,468271.499026
2018-02-18,527340.964244
2018-02-17,589979.418812
2018-02-16,639336.576964
2018-02-15,595161.932437
2018-02-14,589576.885325
2018-02-13,616527.146026
2018-02-12,516998.713859
2018-02-11,738768.899031
2018-02-10,754234.539111
2018-02-09,725043.655617
2018-02-08,1000515.69023
2018-02-07,1262518.87784
2018-02-06,1188364.08812
2018-02-05,935132.434534
2018-02-04,1333616.10081
2018-02-03,2442348.7298
2018-02-02,1944067.48096
2018-02-01,1642340.30488
2018-01-31,1632514.29013
2018-01-30,1634257.1278
2018-01-29,1827742.52239
2018-01-28,1939097.76709
2018-01-27,2294141.71962
2018-01-26,2476759.16262
2018-01-25,3198498.78959
2018-01-24,3209324.99345
2018-01-23,3317461.28628
2018-01-22,3950466.10751
2018-01-21,5561112.0675
2018-01-20,5614014.97038
2018-01-19,7452780.62517
2018-01-18,7505013.85889
2018-01-17,6779961.27563
2018-01-16,7147868.04353
2018-01-15,6806278.50533
2018-01-14,7662641.86909
2018-01-13,8593093.92326
2018-01-12,9273727.09077
2018-01-11,10895933.4811
2018-01-10,11071272.0486
2018-01-09,10602575.2839
2018-01-08,11424807.8726
2018-01-07,12027800.3544
2018-01-06,12045172.4648
2018-01-05,11829066.6621
2018-01-04,11285211.5866
2018-01-03,9741276.58678
2018-01-02,6483620.48335
2018-01-01,7722285.67201
2017-12-31,10289264.1145
2017-12-30,11504149.5379
2017-12-29,11300748.4557
2017-12-28,12234766.5881
2017-12-27,11609290.5386
2017-12-26,9733579.23643
2017-12-25,12290916.0865
2017-12-24,16368134.3728
2017-12-23,22724840.6602
2017-12-22,18113814.193
2017-12-21,14609416.9187
2017-12-20,11752530.4684
2017-12-19,11132989.2665
2017-12-18,10328496.9276
2017-12-17,10412518.8607
2017-12-16,10533475.0498
2017-12-15,10751346.2855
2017-12-14,10157261.4388
2017-12-13,9293733.50239
2017-12-12,8106807.48721
2017-12-11,6811862.08549
2017-12-10,8587325.96104
2017-12-09,10267644.7352
2017-12-08,5966734.53789
2017-12-07,3482333.20751
2017-12-06,2609451.31257
2017-12-05,2619560.71268
2017-12-04,2124312.94414
2017-12-03,2106835.48552
2017-12-02,2688891.19998
2017-12-01,2746194.89366
2017-11-30,2873917.64081
2017-11-29,2440662.82964
2017-11-28,2298406.7418
2017-11-27,1775333.26292
2017-11-26,1703515.11376
2017-11-25,1926904.49576
2017-11-24,2166965.27294
2017-11-23,1700034.08072
2017-11-22,2500928.14836
2017-11-21,2716241.39213
2017-11-20,1981442.3025
2017-11-19,2266879.97254
2017-11-18,3123836.62283
2017-11-17,3928149.05655
2017-11-16,4406485.69342
2017-11-15,4081355.24891
2017-11-14,5131358.27837
2017-11-13,3336093.43708
2017-11-12,2017392.35736
2017-11-11,2150025.6006
2017-11-10,2586413.10134
2017-11-09,2271125.50801
2017-11-08,2085988.3334
2017-11-07,1679738.78866
2017-11-06,1458113.70199
2017-11-05,2032306.6957
2017-11-04,1956152.111
2017-11-03,1962017.31694
2017-11-02,1460719.7197
2017-11-01,1481494.86626
2017-10-31,1609453.33424
2017-10-30,1716486.63401
2017-10-29,1011143.10306
2017-10-28,962088.743236
2017-10-27,663865.092808
2017-10-26,804946.787716
2017-10-25,1100012.46298
2017-10-24,1090860.96564
2017-10-23,929379.605074
2017-10-22,1010021.50935
2017-10-21,968507.733413
2017-10-20,1096912.81316
2017-10-19,1065989.86358
2017-10-18,1171945.17783
2017-10-17,1104658.35976
2017-10-16,918858.992796
2017-10-15,1306271.2255
2017-10-14,1566403.95697
2017-10-13,928780.083848
2017-10-12,714117.143181
2017-10-11,799875.592041
2017-10-10,713546.427493
2017-10-09,514518.779947
2017-10-08,473572.050781
2017-10-07,647587.032887
2017-10-06,695709.927758
2017-10-05,577720.151685
2017-10-04,654877.027133
2017-10-03,791715.123647
2017-10-02,519159.322729
2017-10-01,439786.082706
2017-09-30,483654.034702
2017-09-29,564964.160367
2017-09-28,603060.977502
2017-09-27,586880.874116
2017-09-26,581016.288814
2017-09-25,309852.646408
2017-09-24,376490.132324
2017-09-23,426184.960232
2017-09-22,498886.538197
2017-09-21,582342.908838
2017-09-20,684984.3639
2017-09-19,688938.352339
2017-09-18,372398.374909
2017-09-17,451325.775289
2017-09-16,48384.1633036
2017-09-15,510343.437158
2017-09-14,529746.695793
2017-09-13,628248.119721
2017-09-12,678563.690289
